Contig length	Number of contigs in this category
0	0
100	0
200	167
300	96
400	82
500	55
600	38
700	38
800	39
900	33
1000	24
1100	27
1200	27
1300	33
1400	25
1500	17
1600	13
1700	18
1800	17
1900	20
2000	10
2100	19
2200	3
2300	11
2400	8
2500	9
2600	5
2700	6
2800	8
2900	7
3000	4
3100	6
3200	4
3300	4
3400	4
3500	3
3600	4
3700	0
3800	1
3900	4
4000	2
4100	1
4200	1
4300	3
4400	4
4500	3
4600	0
4700	2
4800	2
4900	0
5000	1
5100	1
5200	2
5300	0
5400	2
5500	0
5600	0
5700	0
5800	0
5900	1
6000	0
6100	0
6200	1
6300	1
6400	0
6500	0
6600	0
6700	0
6800	0
6900	0
7000	0
7100	0
7200	1
7300	0
7400	0
7500	0
7600	1
7700	0
7800	0
7900	1
8000	0
8100	0
8200	0
8300	0
8400	0
8500	0
8600	0
8700	1
8800	0
8900	0
9000	0
9100	0
9200	0
9300	0
9400	0
9500	0
9600	0
9700	0
9800	0
9900	0
10000	0
10100	0
10200	0
10300	0
10400	1
10500	0
*******************************
Contig Count:921
Max contig length:10467
Min contig length:200
Total contig length:1077124
Average contig legth:1121.5157437567862
Mean Depth Coverage:52.31487513572204
N50:1896
